Value,ar,ca,cs,da,de,el,en,en_AU,en_GB,es,es_419,fi,fr,fr_CA,he,hi,hr,hu,id,it,ja,ko,ms,nl,no,pl,pt,pt_PT,ro,ru,sk,sv,th,tr,uk,vi,zh_CN,zh_HK,zh_TW
59755,المنزل,Casa,Domov,Hjem,Zuhause,Οικία,Home,Home,Home,Casa,Casa,Koti,Maison,Domicile,בית,घर,Dom,Otthon,Rumah,Casa,自宅,홈,Rumah,Huis,Hjem,Dom,Casa,Casa,Locuință,Дом,Domácnosť,Hem,บ้าน,Ev,Дім,Nhà,家庭,家居,住家
59677,مبانٍ,Edificis,Budovy,Bygninger,Gebäude,Κτήρια,Buildings,Buildings,Buildings,Edificios,Edificios,Rakennukset,Bâtiments,Bâtiments,בניינים,इमारतें,Građevine,Épületek,Bangunan,Edifici,建物,빌딩,Bangunan,Gebouw,Bygninger,Budynki,Edifícios,Edifícios,Clădiri,Здания,Budovy,Byggnader,อาคาร,Binalar,Будівлі,Tòa nhà,建筑,建築物,建築物
59828,عربة تسوق,Carret de supermercat,Nákupní vozík,Indkøbsvogn,Einkaufswagen,Καρότσι αγορών,Shopping Cart,Shopping Trolley,Shopping Trolley,Carrito de la compra,Carrito de compras,Ostoskärry,Chariot de supermarché,Panier d’épicerie,עגלת קניות,शॉपिंग कार्ट,Kolica za kupovinu,Bevásárlókocsi,Keranjang Belanja,Carrello,ショッピングカート,쇼핑 카트,Troli Membeli-belah,Winkelwagen,Handlekurv,Wózek sklepowy,Carrinho de Compras,Carrinho de compras,Coș de cumpărături,Тележка покупателя,Nákupný vozík,Kundvagn,รถช้อปปิ้ง,Alışveriş Sepeti,Магазинний візок,Xe mua hàng,购物车,購物車,購物車
61553,حقيبة وكوب لوجبة خارجية,Bossa i got per emportar,Sáček s sebou a hrnek,Takeaway-pose og kop,Tüte und Becher To Go,Σακούλα μεταφοράς φαγητού και ποτήρι μίας χρήσης,Take Out Bag And Cup,Takeaway Bag And Cup,Takeaway Bag And Cup,Bolsa y vaso para llevar,Bolsa de comida para llevar y vaso desechable,Noutoruokapussi ja muki,Sac et tasse à emporter,Sac et gobelet à emporter,שקית טייק אוויי עם כוס,टेक आउट बैग और कप,Vrećica i šalica za dostavu,Elviteles papírtasak és pohár,Kantong Bungkus Makanan dan Cangkir,Sacchetto e bicchiere da asporto,テイクアウト用の袋とカップ,테이크아웃 가방 및 컵,Beg dan Cawan Bawa Pulang,Mee­neemtas en -beker,Pose og kopp,Torba z jedzeniem na wynos i kubek,Sacola de Compras e Caneca,Copo com saco de transporte,Pungă și pahar de luat la pachet,Пакет для еды навынос и чашка,Ruksak a šálka do prírody,Hämtpåse och mugg,ถุงและแก้วสำหรับนำกลับบ้าน,Al Götür Paketi ve Bardağı,Пакет для їжі навинос і чашка,Túi và cốc mang đi,外卖袋子和杯子,外賣袋和杯,外帶的袋子和杯子
59750,حقيبة يد,Bossa de mà,Kabelka,Håndtaske,Handtasche,Τσάντα,Handbag,Handbag,Handbag,Bolso,Bolso,Käsilaukku,Sac à main,Sac à main,תיק יד,हैंडबैग,Torbica,Kézitáska,Tas Wanita,Borsetta,ハンドバッグ,핸드백,Beg Tangan,Handtas,Håndveske,Torebka,Bolsa de mão,Mala de mão,Poșetă,Сумочка,Kabelka,Handväska,กระเป๋าถือ,Çanta,Сумочка,Túi xách,手提包,手袋,手提包
59863,أدوات منزلية,Coberts,Jídelní náčiní,Bestik,Besteck,Μαγειρικά σκεύη,Utensils,Cutlery,Cutlery,Cubiertos,Utensilios,Keittiövälineet,Couverts,Ustensiles,סכו״ם,बर्तन,Pribori,Konyhai eszközök,Perabot,Posate,食器,주방 도구,Alat Hidangan,Mes en vork,Bestikk,Sztućce,Talheres,Utensílios,Ustensile,Столовые приборы,Príbor,Redskap,เครื่องใช้ในครัว,Çatal bıçak,Столовий посуд,Đồ dùng nấu ăn,刀叉,廚具,廚具
59741,محطة وقود,Gasolinera,Čerpací stanice,Tankstation,Tankstelle,Πρατήριο καυσίμων,Fuel Station,Petrol Station,Petrol Station,Surtidor de gasolina,Gasolinera,Bensiiniasema,Station-service,Station-service,תחנת דלק,पेट्रोल पंप,Benzinska postaja,Benzinkút,SPBU,Stazione di servizio,ガソリンスタンド,주유소,Stesen Minyak,Tankstation,Bensinstasjon,Stacja paliw,Posto de Combustível,Estação de serviço,Stație de alimentare,Заправочная станция,Čerpacia stanica,Bensinstation,ปั๊มน้ำมัน,Benzin İstasyonu,Бензозаправка,Trạm xăng,加油站,加油站,加油站
59854,مقياس حرارة,Termòmetre,Teploměr,Termometer,Thermometer,Θερμόμετρο,Thermometer,Thermometer,Thermometer,Termómetro,Termómetro,Lämpömittari,Thermomètre,Thermomètre,מד חום,थर्मामीटर,Termometar,Hőmérő,Termometer,Termometro,温度計,체온계,Termometer,Thermometer,Termometer,Termometr,Termômetro,Termómetro,Termometru,Термометр,Teplomer,Termometer,ปรอทวัดอุณหภูมิ,Termometre,Термометр,Nhiệt kế,温度计,溫度計,溫度計
59845,شمس,Sol,Slunce,Sol,Sonne,Ήλιος,Sun,Sun,Sun,Sol,Sol,Aurinko,Soleil,Soleil,שמש,सूरज,Sunce,Nap,Matahari,Sole,太陽,해,Matahari,Zon,Sol,Słońce,Sol,Sol,Soare,Солнце,Slnko,Sol,อา.,Güneş,Сонце,Mặt Trời,太阳,太陽,太陽
59782,قمر,Lluna,Měsíc,Måne,Mond,Φεγγάρι,Moon,Moon,Moon,Luna,Luna,Kuu,Lune,Lune,ירח,चंद्रमा,Mjesec,Hold,Bulan,Luna,月,달,Bulan,Maan,Månen,Księżyc,Lua,Lua,Lună,Луна,Mesiac,Måne,ดวงจันทร์,Ay,Місяць,Mặt Trăng,月亮,月亮,月亮
61517,قمر في دائرة,Cercle amb una lluna,Měsíc v kruhu,Måne i cirkel,Mond – Kreis,Φεγγάρι σε κύκλο,Moon Circle,Moon Circle,Moon Circle,Círculo con luna,Luna en círculo,Puolikuu ympyrässä,Lune dans un cercle,Cercle avec lune,ירח בתוך עיגול,चंद्र वृत्त,Mjesec u krugu,Hold egy körben,Lingkaran Bulan,Cerchio con luna,月（丸）,동그라미 속 달,Bulatan Bulan,Maan in cirkel,Måne i sirkel,Księżyc w kółku,Círculo com Lua,Lua num círculo,Cerc lună,Луна в кружке,Mesiac v kruhu,Måne i cirkel,พระจันทร์อยู่ในวงกลม,Ay Dairesi,Місяць у колі,Hình tròn mặt trăng,月亮圆圈,月亮圓圈,月亮圓圈
59835,ندفة ثلج,Floc de neu,Sněhová vločka,Snefnug,Schneeflocke,Χιονονιφάδα,Snowflake,Snowflake,Snowflake,Copo de nieve,Copo de nieve,Lumihiutale,Flocon de neige,Flocon de neige,פתית שלג,हिमकण,Snježna pahulja,Hópehely,Kepingan Salju,Fiocco di neve,雪の結晶,눈송이,Emping Salji,Sneeuwvlok,Snøfnugg,Płatek śniegu,Floco de Neve,Floco de neve,Fulg de zăpadă,Снежинка,Snehová vločka,Snöflinga,เกล็ดหิมะ,Kar Tanesi,Сніжинка,Bông tuyết,雪花,雪花,雪花
59714,سحابة,Núvol,Oblak,Netsky,Wolke,Σύννεφο,Cloud,Cloud,Cloud,Nube,Nube,Pilvi,Nuage,Nuage,ענן,क्लाउड,Oblak,Felhő,Awan,Nuvola,雲,구름,Awan,Wolk,Sky,Chmura,Nuvem,Nuvem,Nor,Облако,Oblak,Moln,เมฆ,Bulut,Хмара,Mây,云,雲,雲
59715,سحابة تمطر,Núvol amb pluja,Mrak s deštěm,Regnsky,"Wolke, regnend",Σύννεφο με βροχή,Cloud Raining,Cloud Raining,Cloud Raining,Nube de lluvia,Nube con lluvia,Pilvi ja vesisade,Nuage avec pluie,Nuage et pluie,גשם יורד מענן,क्लाउड रेनिंग,Kišni oblak,Felhőből hulló eső,Awan Hujan,Nuvola con pioggia,雲（雨）,비 오는 구름,Hujan Awan,Wolk met regen,Regnsky,Chmura z deszczem,Nuvem com Chuva,Nuvem com chuva,Nor cu ploaie,Облако с дождем,Oblak s dažďom,Regnande moln,เมฆที่มีฝนกำลังตก,Yağmur Yağan Bulut,Хмара з дощем,Đám mây đang mưa,下雨的云,下雨的雲,正在下雨的雲
59861,مظلة,Paraigua,Deštník,Paraply,Regenschirm,Ομπρέλα,Umbrella,Umbrella,Umbrella,Paraguas,Paraguas,Sateenvarjo,Parapluie,Parapluie,מטריה,छाता,Kišobran,Esernyő,Payung,Ombrello,傘,우산,Payung,Paraplu,Paraply,Parasol,Guarda-chuva,Guarda-chuva,Umbrelă,Зонтик,Dáždnik,Paraply,ร่ม,Şemsiye,Парасолька,Cái ô,伞,雨傘,雨傘
59734,نار,Foc,Oheň,Ild,Feuer,Φωτιά,Fire,Fire,Fire,Fuego,Fuego,Tuli,Feu,Flamme,אש,आग,Vatra,Tűz,Api,Fuoco,炎,불,Api,Vuur,Ild,Ogień,Fogo,Fogo,Foc,Пламя,Oheň,Eld,ไฟ,Ateş,Вогонь,Lửa,火焰,火焰,火焰
59669,منظار مكبر,Prismàtics,Dalekohled,Kikkert,Fernglas,Κυάλια,Binoculars,Binoculars,Binoculars,Prismáticos,Binoculares,Kiikarit,Jumelles,Jumelles,משקפת,दूरबीन,Dalekozor,Távcső,Teropong,Binocolo,双眼鏡,쌍안경,Binokular,Verrekijker,Kikkert,Lornetka,Binóculo,Binóculos,Binoclu,Бинокль,Ďalekohľad,Kikare,กล้องส่องทางไกล,Dürbün,Бінокль,Ống nhòm,双目望远镜,雙筒望遠鏡,雙筒望遠鏡
59717,بوصلة,Brúixola,Kompas,Kompas,Kompass,Πυξίδα,Compass,Compass,Compass,Brújula,Brújula,Kompassi,Boussole,Boussole,מצפן,दिशासूचक,Kompas,Iránytű,Kompas,Bussola,コンパス,나침반,Kompas,Kompas,Kompass,Kompas,Bússola,Bússola,Busolă,Компас,Kompas,Kompass,เข็มทิศ,Pusula,Компас,La bàn,指南针,指南針,指南針
59412,كرة أرضية,Globus terraqüi,Glóbus,Globus,Globus,Υδρόγειος,Globe,Globe,Globe,Globo terráqueo,Globo terráqueo,Maapallo,Globe,Globe,גלובוס,ग्लोब,Globus,Földgömb,Bola Dunia,Globo,地球儀,지구본,Glob,Wereldbol,Globus,Globus,Globo Terrestre,Globo,Glob pământesc,Земной шар,Glóbus,Jordglob,ลูกโลก,Dünya,Глобус,Địa cầu,地球,地球儀,地球儀
59784,صورة جبل,Foto,Obrázek hor,Bjergbillede,Bergbild,Εικόνα βουνού,Mountain Picture,Mountain Picture,Mountain Picture,Imagen de montaña,Imagen de montañas,Vuoren kuva,Photo de montagne,Photo de montagnes,תמונת הר,पर्वत का चित्र,Slika planine,Hegyet ábrázoló kép,Gambar Gunung,Foto di una montagna,山の絵,산 사진,Gambar Gunung,Foto van bergen,Fjellbilde,Obrazek z widokiem gór,Foto de Montanha,Imagem de uma montanha,Imagine montană,Изображение горы,Obrázok hôr,Bild på berg,รูปภาพภูเขา,Dağ Resmi,Малюнок гір,Ảnh núi,山脉图,山峰的圖片,山峰的圖片
59733,شريط سينمائي,Tira de fotogrames,Filmový pás,Filmstrimmel,Filmstreifen,Λωρίδα φιλμ,Filmstrip,Film Strip,Filmstrip,Cinta de celuloide,Cinta de celuloide,Filminauha,Pellicule,Bande de film,סרט שקופיות,फ़िल्म स्ट्रिप,Filmska traka,Filmszalag,Strip Film,Pellicola,フィルムストリップ,필름 스트립,Jalur Filem,Filmstrip,Filmremse,Slajd,Película,Diafilme,Diafilm,Кинопленка,Filmový pás,Filmremsa,แถบม้วนฟิล์ม,Film Şeridi,Діафільм,Cuộn phim,电影胶片,菲林,膠捲
59682,الكاميرا,Càmera,Fotoaparát,Kamera,Kamera,Κάμερα,Camera,Camera,Camera,Cámara,Cámara,Kamera,Appareil photo,Caméra,מצלמה,कैमरा,Kamera,Kamera,Kamera,Fotocamera,カメラ,카메라,Kamera,Camera,Kamera,Aparat,Câmera,Câmara,Cameră,Камера,Kamera,Kamera,กล้อง,Kamera,Камера,Camera,相机,相機,相機
59402,كاميرا سينمائية معبأة,Càmera de cine emplenada,Vyplněný obrys kamery,Filmkamera,"Filmkamera, gefüllt",Κινηματογραφική κάμερα με γέμισμα,Movie Camera Filled,Movie Camera Filled,Film Camera Filled,Cámara de cine con relleno,Cámara de cine rellenada,Musta elokuvakamera,Glyphe de caméra plein,Caméra de cinéma remplie,מצלמת קולנוע מלאה,मूवी कैमरा फ़ील्ड,Ispunjena filmska kamera,Kitöltött filmkamera,Kamera Film Terisi,Cinepresa piena,ムービーカメラ（塗りつぶし）,채색된 영화 카메라,Kamera Filem Diisi,Gevulde filmcamera,Fylt filmkamera,Kamera filmowa (wypełniona),Câmera de Cinema Preenchida,Câmara de cinema preenchida,Cameră de filmat plină,Изображение кинокамеры,Vyplnená videokamera,Ifylld filmkamera,กล้องถ่ายภาพยนตร์แบบสี,İçi Dolu Film Kamerası,Кінокамера із заливкою,Máy quay phim được tô màu,摄影机（填充）,填滿的電影攝影機,填滿的電影攝影機
59780,الميكروفون,Micròfon,Mikrofon,Mikrofon,Mikrofon,Μικρόφωνο,Microphone,Microphone,Microphone,Micrófono,Micrófono,Mikrofoni,Microphone,Microphone,מיקרופון,माइक्रोफ़ोन,Mikrofon,Mikrofon,Mikrofon,Microfono,マイク,마이크,Mikrofon,Microfoon,Mikrofon,Mikrofon,Microfone,Microfone,Microfon,Микрофон,Mikrofón,Mikrofon,ไมโครโฟน,Mikrofon,Мікрофон,Micrô,麦克风,咪高風,麥克風
59864,رمز فيديو,Símbol de vídeo,Symbol videa,Videosymbol,Videosymbol,Σύμβολο βίντεο,Video Symbol,Video Symbol,Video Symbol,Icono de vídeo,Símbolo de video,Videosymboli,Symbole de vidéo,Symbole de vidéo,סמל וידאו,वीडियो का चिह्न,Simbol za videozapis,Videó szimbólum,Simbol Video,Simbolo della riproduzione di un video,ビデオ記号,비디오 기호,Simbol Video,Videosymbool,Videosymbol,Symbol wideo,Símbolo de Vídeo,Símbolo de vídeo,Simbol video,Знак видео,Symbol videa,Videosymbol,สัญลักษณ์วิดีโอ,Video Sembolü,Символ відео,Biểu tượng video,视频符号,影片符號,影片符號
59711,رمز الحافظة,Glif de porta‑retalls,Symbol schránky,Glyf for udklipsholder,Klemmbrettglyphe,Γλυφή πρόχειρου,Clipboard glyph,Clipboard glyph,Clipboard glyph,Glifo de portapapeles,Glifo del portapapeles,Leikepöydän glyyfi,Glyphe de presse-papiers,Glyphe de presse-papiers,גליף לוח עריכה,क्लिपबोर्ड ग्लिफ़,Znak držača za papir sa štipaljkom,Vágólapglifa,Simbol gambar Papan Klip,Glifo appunti,クリップボードのグリフ,클립보드 글리프,Glif papan klip,Klembordsymbool,Glyff i Utklipp,Glif schowka,Glifo de Prancheta,Glifo do clipboard,Glifă clipboard,Планшет,Znak schránky,Urklippsglyf,สัญลักษณ์คลิปบอร์ด,Pano şekli,Гліф буфера обміну,Nét bìa kẹp hồ sơ,剪贴板图形,剪貼板圖形,剪貼板圖形
59681,التقويم,Calendari,Kalendář,Kalender,Kalender,Ημερολόγιο,Calendar,Calendar,Calendar,Calendario,Calendario,Kalenteri,Calendrier,Calendrier,לוח שנה,कैलेंडर,Kalendar,Naptár,Kalender,Calendario,カレンダー,캘린더,Kalendar,Agenda,Kalender,Kalendarz,Calendário,Calendário,Calendar,Календарь,Kalendár,Kalender,ปฏิทิน,Takvim,Календар,Lịch,日历,日曆,行事曆
59414,فقاعة دردشة,Bombolla de xat,Chatovací bublina,Chatboble,Chat-Blase,Φούσκα συνομιλίας,Chat Bubble,Chat Bubble,Chat Bubble,Bocadillo de diálogo,Burbuja de chat,Chatkupla,Bulle de conversation,Bulle de conversation,בועת שיחה,चैट बबल,Oblačić za govor,Csevegési buborék,Gelembung Obrolan,Fumetto messaggio,吹き出し（チャット）,말풍선,Gelembung Perbualan,Spraakballon,Snakkeboble,Dymek dialogowy,Balão de Chat,Balão de fala,Balon de conversație,Текстовое облачко,Četovacia bublina,Chattbubbla,ฟองสนทนา,Sohbet Balonu,Булька бесіди,Bong bóng trò chuyện,聊天气泡,聊天泡泡,聊天泡泡
59403,فقاعات رسائل,Bombolles de missatge,Bubliny se zprávami,Beskedbobler,Nachrichtenblasen,Φούσκες μηνύματος,Message Bubbles,Message Bubbles,Message Bubbles,Bocadillos de mensaje,Burbujas de mensaje,Viestikuplat,Bulles de messages,Bulles de message,בועות הודעה,संदेश बुलबुले,Oblačići poruka,Üzenetbuborékok,Gelembung Pesan,Fumetti messaggio,吹き出し（メッセージ）,메시지 풍선,Gelembung Mesej,Berichtballonnen,Meldingsbobler,Dymki dialogowe,Balões de Mensagem,Balões de mensagem,Baloane de mesaj,Облачка сообщений,Bubliny so správami,Meddelandebubblor,ฟองข้อความ,Mesaj Balonları,Бульки повідомлень,Bong bóng tin nhắn,两个信息气泡,訊息泡泡,訊息泡泡
59779,فقاعة رسالة,Bombolla de missatge,Bublina se zprávou,Beskedboble,Nachrichtenblase,Φούσκα μηνύματος,Message Bubble,Message Bubble,Message Bubble,Bocadillo de mensaje,Burbuja de mensaje,Viestikupla,Bulle de message,Bulle de message,בועת הודעה,संदेश बुलबुला,Oblačić poruke,Üzenetbuborék,Gelembung Pesan,Fumetto messaggio,吹き出し（メッセージ）,메시지 풍선,Gelembung Mesej,Berichtballon,Meldingsboble,Dymek dialogowy,Balão de Mensagem,Balão de mensagem,Balon de mesaj,Облачко сообщения,Bublina so správou,Meddelandebubbla,ฟองข้อความ,Mesaj Balonu,Булька повідомлення,Bong bóng tin nhắn,一个信息气泡,訊息泡泡,訊息泡泡
59773,مغلف بريدي,Sobre de correu,Dopisní obálka,Kuvert,Briefumschlag,Φάκελος αλληλογραφίας,Mail Envelope,Mail Envelope,Mail Envelope,Sobre de carta,Sobre,Kirjekuori,Enveloppe,Enveloppe,מעטפת דואר,मेल लिफ़ाफ़ा,Poštanska omotnica,Boríték,Amplop Surat,Busta postale,封筒,편지 봉투,Sampul Mel,Envelop,Konvolutt,Koperta,Envelope de Correio,Envelope de correio,Plic poștal,Конверт,Poštová obálka,Kuvert,ซองจดหมาย,Zarf,Поштовий конверт,Phong bì thư,邮件信封,郵件信封,郵件信封
59774,مغلف بريدي مفتوح,Sobre de correu obert,Otevřená dopisní obálka,Åben kuvert,"Briefumschlag, offen",Ανοιχτός φάκελος αλληλογραφίας,Mail Envelope Open,Mail Envelope Open,Mail Envelope Open,Sobre de carta abierto,Sobre abierto,Avoin kirjekuori,Enveloppe ouverte,Enveloppe ouverte,מעטפת דואר פתוחה,मेल लिफ़ाफ़ा खोलें,Otvorena poštanska omotnica,Kinyitott boríték,Amplop Surat Terbuka,Busta postale aperta,封筒（開いている）,열린 편지 봉투,Sampul Mel Terbuka,Open envelop,Åpen konvolutt,Otwarta koperta,Envelope de Correio Aberto,Envelope de correio aberto,Plic poștal deschis,Открытый конверт,Otvorená poštová obálka,Öppet brevkuvert,ซองจดหมายที่เปิดอยู่,Açık Zarf,Відкритий поштовий конверт,Phong bì thư mở,打开的邮件信封,郵件信封打開,打開的郵件信封
59836,طائرة ورقية تصعد لأعلى,Avió de paper volant,Vzlétající papírová vlaštovka,Højtflyvende papirflyver,Kreisendes Papierflugzeug,Χάρτινο αεροπλανάκι που πετάει,Soaring Paper Airplane,Soaring Paper Aeroplane,Soaring Paper Aeroplane,Avión de papel volando,Avión de papel elevándose,Lentävä paperilennokki,Avion en papier volant haut,Avion de papier en vol,מטוס נייר דואה,उड़नेवाला काग़ज़ी विमान,Papirnati zrakoplov u polijetanju,Magasba röppenő papírrepülő,Pesawat Kertas Melayang,Aeroplano di carta,飛んでいく紙飛行機,치솟는 종이 비행기,Kapal Terbang Kertas Terbang Tinggi,Vliegend papieren vliegtuig,Flyvende papirfly,Lecący papierowy samolot,Avião de Papel Subindo,Avião de papel veloz,Avion de hârtie în zbor,Летящий бумажный самолетик,Vzlietajúce papierové lietadlo,Flygande pappersplan,เครื่องบินกระดาษกำลังร่อนอยู่,Uçan Kâğıt Uçak,"Паперовий літак, що ширяє",Máy bay giấy bay lên,飞翔的纸飞机,飛上天的紙飛機,飛上天的紙飛機
61462,طائرة ورقية في دائرة,Cercle amb un avió de paper,Papírová vlaštovka v kroužku,Papirflyver i cirkel,Papierflugzeug – Kreis,Χάρτινο αεροπλάνο σε κύκλο,Paper Plane Circle,Paper Plane Circle,Paper Plane Circle,Círculo con avión de papel,Avión de papel en círculo,Paperilennokki ympyrässä,Avion en papier dans un cercle,Cercle avec avion en papier,אווירון מנייר בתוך עיגול,काग़ज़ का हवाई जहाज़ वृत्त,Papirnati avion u krugu,Papírrepülő egy körben,Lingkaran Pesawat Kertas,Cerchio con aeroplano di carta,紙飛行機（丸）,원형 종이 비행기,Bulatan Kapal Terbang Kertas,Papieren vliegtuig in cirkel,Papirfly i sirkel,Papierowy samolot w kółku,Círculo com Avião de Papel,Avião de papel num círculo,Cerc avion de hârtie,Бумажный самолетик в кружке,Papierové lietadlo v kruhu,Pappersplan i cirkel,เครื่องบินกระดาษอยู่ในวงกลม,Kâğıttan Uçak Dairesi,Паперовий літак у колі,Hình tròn máy bay giấy,纸飞机圆圈,紙飛機圓圈,紙飛機圓圈
59676,حقيبة ملفات,Cartera,Kufřík,Dokumentmappe,Aktenkoffer,Χαρτοφύλακας,Briefcase,Briefcase,Briefcase,Maletín,Maletín,Salkku,Porte-documents,Porte-documents,תיק מסמכים,ब्रीफ़केस,Aktovka,Aktatáska,Tas Kantor,Valigetta,仕事かばん,서류 가방,Beg Bimbit,Aktetas,Stresskoffert,Aktówka,Maleta,Pasta,Servietă,Портфель,Kufrík,Portfölj,กระเป๋าเอกสาร,Evrak Çantası,Кейс,Cặp tài liệu,公文包,公事包,公事包
